Order ID,Order Date,Customer ID,Customer Name,Sales Person,Region,Product_Type,Price,Quantity
9,2021-01-05,20,Company T,Andrew James,Arizona,Product 1,399,5
12,2021-01-05,6,Company F,Laura Larsen,California,Product 1,399,6
14,2021-01-05,4,Company D,Anna Weber,Texas,Product 1,399,4
20,2021-01-07,5,Company E,Anna Weber,Texas,Product 1,399,3
24,2021-01-07,12,Company L,Michael Fox,New Mexico,Product 1,399,2
25,2021-01-08,3,Company C,Ben Wallace,Texas,Product 1,399,0
28,2021-01-08,19,Company S,Andrew James,Arizona,Product 1,399,7
32,2021-01-09,6,Company F,Laura Larsen,California,Product 1,399,3
37,2021-01-11,13,Company M,Anne Lee,New Mexico,Product 1,399,4
38,2021-01-12,20,Company T,Oscar Knox,Arizona,Product 1,399,3
41,2021-01-13,9,Company I,Kim Fishman,California,Product 1,399,4
44,2021-01-13,7,Company G,Laura Larsen,California,Product 1,399,5
51,2021-01-13,19,Company S,Andrew James,Arizona,Product 1,399,6
55,2021-01-15,7,Company G,Laura Larsen,California,Product 1,399,0
59,2021-01-15,9,Company I,Kim Fishman,California,Product 1,399,7
64,2021-01-18,9,Company I,Laura Larsen,California,Product 1,399,1
72,2021-01-22,15,Company O,Anne Lee,New Mexico,Product 1,399,4
81,2021-01-24,7,Company G,Laura Larsen,California,Product 1,399,6
84,2021-01-25,18,Company R,Andrew James,Arizona,Product 1,399,1
85,2021-01-26,4,Company D,Ben Wallace,Texas,Product 1,399,9
86,2021-01-26,12,Company L,Michael Fox,New Mexico,Product 1,399,2
92,2021-01-28,20,Company T,Oscar Knox,Arizona,Product 1,399,6
93,2021-01-29,7,Company G,Kim Fishman,California,Product 1,399,1
104,2021-02-02,4,Company D,Ben Wallace,Texas,Product 1,399,1
108,2021-02-02,15,Company O,Anne Lee,New Mexico,Product 1,399,2
111,2021-02-03,19,Company S,Andrew James,Arizona,Product 1,399,6
112,2021-02-04,1,Company A,Anna Weber,Texas,Product 1,399,2
113,2021-02-05,17,Company Q,Oscar Knox,Arizona,Product 1,399,5
117,2021-02-05,14,Company N,Michael Fox,New Mexico,Product 1,399,7
126,2021-02-08,18,Company R,Oscar Knox,Arizona,Product 1,399,4
131,2021-02-11,10,Company J,Kim Fishman,California,Product 1,399,3
133,2021-02-11,12,Company L,Michael Fox,New Mexico,Product 1,399,9
137,2021-02-13,12,Company L,Anne Lee,New Mexico,Product 1,399,3
138,2021-02-13,14,Company N,Anne Lee,New Mexico,Product 1,399,3
140,2021-02-13,15,Company O,Anne Lee,New Mexico,Product 1,399,8
148,2021-02-13,2,Company B,Ben Wallace,Texas,Product 1,399,2
171,2021-02-19,8,Company H,Laura Larsen,California,Product 1,399,6
173,2021-02-19,2,Company B,Ben Wallace,Texas,Product 1,399,1
174,2021-02-19,6,Company F,Laura Larsen,California,Product 1,399,6
185,2021-02-23,4,Company D,Ben Wallace,Texas,Product 1,399,5
187,2021-02-24,17,Company Q,Oscar Knox,Arizona,Product 1,399,9
189,2021-02-25,20,Company T,Oscar Knox,Arizona,Product 1,399,8
192,2021-02-26,12,Company L,Anne Lee,New Mexico,Product 1,399,0
206,2021-03-08,5,Company E,Ben Wallace,Texas,Product 1,399,6
210,2021-03-08,14,Company N,Michael Fox,New Mexico,Product 1,399,8
224,2021-03-11,9,Company I,Kim Fishman,California,Product 1,399,6
225,2021-03-11,2,Company B,Anna Weber,Texas,Product 1,399,9
226,2021-03-12,14,Company N,Michael Fox,New Mexico,Product 1,399,1
227,2021-03-13,14,Company N,Michael Fox,New Mexico,Product 1,399,1
230,2021-03-15,3,Company C,Anna Weber,Texas,Product 1,399,6
232,2021-03-15,7,Company G,Laura Larsen,California,Product 1,399,9
239,2021-03-16,16,Company P,Andrew James,Arizona,Product 1,399,9
249,2021-03-18,19,Company S,Oscar Knox,Arizona,Product 1,399,3
251,2021-03-18,2,Company B,Ben Wallace,Texas,Product 1,399,9
253,2021-03-18,16,Company P,Oscar Knox,Arizona,Product 1,399,5
258,2021-03-20,17,Company Q,Andrew James,Arizona,Product 1,399,5
270,2021-03-25,14,Company N,Anne Lee,New Mexico,Product 1,399,9
278,2021-03-26,6,Company F,Kim Fishman,California,Product 1,399,8
297,2021-03-31,14,Company N,Michael Fox,New Mexico,Product 1,399,5
301,2021-04-02,10,Company J,Kim Fishman,California,Product 1,399,9
321,2021-04-12,9,Company I,Kim Fishman,California,Product 1,399,1
325,2021-04-14,14,Company N,Anne Lee,New Mexico,Product 1,399,3
330,2021-04-14,7,Company G,Laura Larsen,California,Product 1,399,8
331,2021-04-14,10,Company J,Laura Larsen,California,Product 1,399,9
333,2021-04-14,18,Company R,Oscar Knox,Arizona,Product 1,399,4
338,2021-04-17,13,Company M,Michael Fox,New Mexico,Product 1,399,8
350,2021-04-19,3,Company C,Anna Weber,Texas,Product 1,399,1
353,2021-04-20,4,Company D,Anna Weber,Texas,Product 1,399,1
355,2021-04-20,17,Company Q,Oscar Knox,Arizona,Product 1,399,6
357,2021-04-21,3,Company C,Ben Wallace,Texas,Product 1,399,2
359,2021-04-22,1,Company A,Ben Wallace,Texas,Product 1,399,5
362,2021-04-22,5,Company E,Anna Weber,Texas,Product 1,399,2
374,2021-04-25,5,Company E,Anna Weber,Texas,Product 1,399,3
378,2021-04-25,11,Company K,Michael Fox,New Mexico,Product 1,399,3
386,2021-04-28,3,Company C,Anna Weber,Texas,Product 1,399,2
399,2021-05-03,5,Company E,Ben Wallace,Texas,Product 1,399,7
403,2021-05-05,12,Company L,Anne Lee,New Mexico,Product 1,399,6
417,2021-05-09,2,Company B,Anna Weber,Texas,Product 1,399,1
432,2021-05-15,2,Company B,Anna Weber,Texas,Product 1,399,3
442,2021-05-15,1,Company A,Anna Weber,Texas,Product 1,399,1
447,2021-05-16,16,Company P,Andrew James,Arizona,Product 1,399,5
453,2021-05-16,6,Company F,Laura Larsen,California,Product 1,399,3
456,2021-05-17,3,Company C,Anna Weber,Texas,Product 1,399,7
461,2021-05-18,7,Company G,Laura Larsen,California,Product 1,399,0
462,2021-05-18,1,Company A,Anna Weber,Texas,Product 1,399,3
463,2021-05-19,10,Company J,Kim Fishman,California,Product 1,399,9
470,2021-05-20,14,Company N,Michael Fox,New Mexico,Product 1,399,9
472,2021-05-22,5,Company E,Anna Weber,Texas,Product 1,399,3
474,2021-05-23,18,Company R,Andrew James,Arizona,Product 1,399,3
493,2021-05-26,9,Company I,Laura Larsen,California,Product 1,399,2
507,2021-05-29,2,Company B,Ben Wallace,Texas,Product 1,399,9
508,2021-05-29,19,Company S,Andrew James,Arizona,Product 1,399,6
520,2021-06-03,18,Company R,Oscar Knox,Arizona,Product 1,399,7
530,2021-06-03,16,Company P,Andrew James,Arizona,Product 1,399,7
532,2021-06-04,11,Company K,Anne Lee,New Mexico,Product 1,399,8
542,2021-06-08,9,Company I,Laura Larsen,California,Product 1,399,5
545,2021-06-09,14,Company N,Anne Lee,New Mexico,Product 1,399,0
553,2021-06-11,11,Company K,Michael Fox,New Mexico,Product 1,399,0
556,2021-06-12,10,Company J,Laura Larsen,California,Product 1,399,0
